<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.01	00:00:00	78330.76	78330.76	78176.74	78176.74	30	0	2987
2025.09.01	00:01:00	78154.44	78154.80	78063.73	78098.19	30	0	2987
2025.09.01	00:02:00	78081.64	78244.86	78042.09	78181.44	30	0	2987
2025.09.01	00:03:00	78177.54	78237.05	78158.75	78218.20	30	0	2987
2025.09.01	00:04:00	78225.44	78238.77	78089.69	78150.90	30	0	2987
2025.09.01	00:05:00	78146.53	78167.32	78029.06	78029.06	30	0	2987
2025.09.01	00:06:00	78037.69	78116.02	77993.55	78104.99	30	0	2987
2025.09.01	00:07:00	78122.70	78161.80	78074.90	78133.23	30	0	2987
2025.09.01	00:08:00	78129.52	78150.25	77934.99	77978.25	30	0	2987
2025.09.01	00:09:00	77982.20	78116.51	77982.20	78043.38	30	0	2987
2025.09.01	00:10:00	78008.49	78109.70	77993.99	78081.71	30	0	2987
2025.09.01	00:11:00	78092.43	78092.43	77953.10	77970.86	30	0	2987
2025.09.01	00:12:00	77994.35	78031.41	77926.84	77962.61	30	0	2987
2025.09.01	00:13:00	77950.95	77965.20	77898.35	77922.30	30	0	2987
2025.09.01	00:14:00	77920.52	77985.32	77907.58	77921.32	30	0	2987
2025.09.01	00:15:00	77921.86	78072.00	77909.41	77985.85	30	0	2987
2025.09.01	00:16:00	77958.30	77958.30	77866.86	77866.86	30	0	2987
2025.09.01	00:17:00	77884.72	77884.72	77794.62	77831.57	30	0	2987
2025.09.01	00:18:00	77849.60	77867.36	77787.73	77787.73	30	0	2987
2025.09.01	00:19:00	77809.75	77824.07	77696.39	77709.23	30	0	2987
2025.09.01	00:20:00	77707.75	77787.12	77707.75	77763.83	30	0	2987
2025.09.01	00:21:00	77764.36	77792.77	77728.67	77758.01	30	0	2987
2025.09.01	00:22:00	77735.67	77778.34	77729.58	77733.97	30	0	2987
2025.09.01	00:23:00	77754.53	77813.32	77743.41	77747.74	30	0	2987
2025.09.01	00:24:00	77752.30	77815.97	77740.47	77807.77	30	0	2987
2025.09.01	00:25:00	77799.24	77799.24	77700.03	77723.75	30	0	2987
2025.09.01	00:26:00	77730.48	77737.42	77627.99	77627.99	30	0	2987
2025.09.01	00:27:00	77627.66	77627.66	77532.95	77573.51	30	0	2987
2025.09.01	00:28:00	77576.25	77590.83	77503.36	77534.22	30	0	2987
2025.09.01	00:29:00	77538.56	77599.82	77523.41	77586.35	30	0	2987
2025.09.01	00:30:00	77607.63	77607.63	77448.19	77538.29	30	0	2987
2025.09.01	00:31:00	77548.26	77592.41	77535.61	77541.62	30	0	2987
2025.09.01	00:32:00	77524.84	77568.93	77487.06	77487.06	30	0	2987
2025.09.01	00:33:00	77509.43	77663.99	77445.98	77636.07	30	0	2987
2025.09.01	00:34:00	77632.57	77706.17	77612.14	77621.67	30	0	2987
2025.09.01	00:35:00	77609.60	77682.90	77608.64	77663.86	30	0	2987
2025.09.01	00:36:00	77667.97	77754.42	77626.07	77730.76	30	0	2987
2025.09.01	00:37:00	77731.54	77875.75	77731.54	77847.94	30	0	2987
2025.09.01	00:38:00	77836.82	77868.77	77753.16	77753.16	30	0	2987
2025.09.01	00:39:00	77775.59	77801.58	77707.25	77801.58	30	0	2987
2025.09.01	00:40:00	77801.83	77884.05	77787.56	77860.18	30	0	2987
2025.09.01	00:41:00	77874.33	77881.25	77792.74	77804.27	30	0	2987
2025.09.01	00:42:00	77813.05	77831.08	77749.14	77753.92	30	0	2987
2025.09.01	00:43:00	77756.95	77828.13	77687.90	77828.13	30	0	2987
2025.09.01	00:44:00	77835.86	77839.94	77784.80	77816.85	30	0	2987
2025.09.01	00:45:00	77829.83	77860.14	77736.84	77736.84	30	0	2987
2025.09.01	00:46:00	77729.92	77841.47	77729.92	77750.96	30	0	2987
2025.09.01	00:47:00	77743.92	77759.28	77585.86	77655.97	30	0	2987
2025.09.01	00:48:00	77659.90	77679.60	77582.22	77659.07	30	0	2987
2025.09.01	00:49:00	77649.38	77785.38	77648.41	77736.12	30	0	2987
2025.09.01	00:50:00	77746.98	77794.92	77678.53	77794.92	30	0	2987
2025.09.01	00:51:00	77814.83	77819.04	77715.38	77723.35	30	0	2987
2025.09.01	00:52:00	77738.94	77738.94	77632.97	77632.97	30	0	2987
2025.09.01	00:53:00	77669.70	77677.50	77592.24	77640.91	30	0	2987
2025.09.01	00:54:00	77650.54	77667.54	77590.52	77667.54	30	0	2987
2025.09.01	00:55:00	77676.12	77686.85	77557.45	77601.18	30	0	2987
2025.09.01	00:56:00	77624.83	77703.59	77618.64	77618.64	30	0	2987
2025.09.01	00:57:00	77606.77	77683.99	77606.77	77683.99	30	0	2987
2025.09.01	00:58:00	77679.37	77708.63	77616.41	77625.46	30	0	2987
2025.09.01	00:59:00	77619.27	77645.50	77561.51	77580.51	30	0	2987
2025.09.01	01:00:00	77578.98	77650.48	77549.36	77618.29	30	0	2987
2025.09.01	01:01:00	77638.81	77649.72	77524.01	77542.50	30	0	2987
2025.09.01	01:02:00	77542.25	77542.25	77314.69	77358.83	30	0	2987
2025.09.01	01:03:00	77366.82	77467.07	77354.67	77401.79	30	0	2987
2025.09.01	01:04:00	77416.46	77573.89	77411.06	77483.10	30	0	2987
2025.09.01	01:05:00	77477.54	77598.91	77477.54	77568.38	30	0	2987
2025.09.01	01:06:00	77549.98	77591.91	77504.44	77583.13	30	0	2987
2025.09.01	01:07:00	77578.61	77675.79	77578.04	77642.77	30	0	2987
2025.09.01	01:08:00	77655.73	77759.93	77650.68	77650.68	30	0	2987
2025.09.01	01:09:00	77645.10	77646.20	77465.68	77485.32	30	0	2987
2025.09.01	01:10:00	77498.65	77532.61	77455.82	77469.24	30	0	2987
2025.09.01	01:11:00	77450.81	77503.58	77409.59	77490.72	30	0	2987
2025.09.01	01:12:00	77504.13	77530.03	77391.29	77391.29	30	0	2987
2025.09.01	01:13:00	77387.26	77391.23	77240.08	77263.35	30	0	2987
2025.09.01	01:14:00	77248.02	77309.30	77208.88	77208.88	30	0	2987
2025.09.01	01:15:00	77220.62	77220.62	77095.27	77095.27	30	0	2987
2025.09.01	01:16:00	77075.21	77147.87	77075.21	77078.68	30	0	2987
2025.09.01	01:17:00	77078.81	77176.58	77078.81	77153.27	30	0	2987
2025.09.01	01:18:00	77170.79	77321.44	77170.79	77264.15	30	0	2987
2025.09.01	01:19:00	77270.31	77304.82	77199.26	77199.26	30	0	2987
2025.09.01	01:20:00	77211.01	77211.01	77054.50	77076.40	30	0	2987
2025.09.01	01:21:00	77061.61	77170.67	77061.61	77155.50	30	0	2987
2025.09.01	01:22:00	77158.99	77239.97	77119.44	77232.83	30	0	2987
2025.09.01	01:23:00	77251.00	77268.82	77074.75	77088.89	30	0	2987
2025.09.01	01:24:00	77085.48	77121.86	77028.91	77048.26	30	0	2987
2025.09.01	01:25:00	77036.50	77076.56	77008.55	77046.93	30	0	2987
2025.09.01	01:26:00	77034.85	77070.10	76940.72	76983.01	30	0	2987
2025.09.01	01:27:00	76974.97	77000.80	76919.78	76927.65	30	0	2987
2025.09.01	01:28:00	76923.40	76965.60	76864.71	76894.75	30	0	2987
